ID	colors	Folio	Scholia	Number or attribution	Biblical verse	Number of scholia per biblical verse	Identification	Notes
312	Orange	22v	227Ph	Φωτ(ίου) 	Rom 4:14 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 491, 5–35, 492, 1–10 	
313		22v	228	κη´	Rom 4:14 (I)	2	Unattributed	
314		22v	229	[κθ]´	Rom 4:14 (II)	3	Unattributed	
315	Orange	23r	230	λ´	Rom 4:15	1	Unattributed	
316	Orange	23r	231	λα´	Rom 4:16 (I)	1	Unattributed	
317		23r	232	λβ´	Rom 4:16 (II)	2	Unattributed	
318		23r	233	λγ´	Rom 4:16 (III)	3	Unattributed	
319		23r	234	λδ´	Rom 4:16 (IV)	4	Unattributed	
320	Orange	23r	235	λε´	Rom 4:17 (I)	1	Unattributed	
321		23r	235Ph	Φωτ(ίου) 	Rom 4:17 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 492, 11–21 	
322		23r	235exa	Sign	Rom 4:17 (I) 	3	Unattributed	
323		23r	235exb 	Sign	Rom 4:17 (I)	4	Thdt., Rom., II, 17 (CPG 6209): Lorrain, 199.17, 11–13	
324		23r	235exc 	Sign	Rom 4:17 (I)	5	Sever., Rom.‒Heb. (CPG 4219): Staab, 217, 20–21	
325		23r	236	λϛ´	Rom 4:17 (II)	6	Unattributed	
326		23r	236Pha	Φωτ(ίου) 	Rom 4:17 (II)	7	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 492, 22–25 	
327	Orange	23r	236Phb	Φωτ(ίου) 	Rom 4:18 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 492, 26–28	
328		23r	236ex 	Σευηρι(ανοῦ) and sign 	Rom 4:18 (I)	2	Sever., Rom.‒Heb. (CPG 4219): Staab, 1933, 218, 1–3	
329		23r	237	λζ´	Rom 4:18 (I)	3	Unattributed	
330		23r	238	λη´	Rom 4:18 (II)	4	Unattributed	
